"name","asset_slug"
"不锈钢管","stainless-pipe"
"覆塑管红色","coated-pipe-red"
"覆塑管红色(A-UV)","coated-pipe-red-a-uv"
"覆塑管蓝色","coated-pipe-blue"
"覆塑管蓝色(A-UV)","coated-pipe-blue-a-uv"
"覆塑管深蓝色","coated-pipe-dark-blue"
"防腐保温管红色","anti-corrosion-insulated-pipe-red"
"防腐保温管蓝色","anti-corrosion-insulated-pipe-blue"
"防腐保温管银色","anti-corrosion-insulated-pipe-silver"
"瓦楞覆塑管红色","corrugated-coated-pipe-red"
"覆塑管红色(A-UA)","coated-pipe-red-a-ua"
"不锈钢管(环压)","stainless-pipe-press"
"不锈钢管(环压）","stainless-pipe-press"
"不锈钢管（环压）","stainless-pipe-press"
"覆塑管红色(环压)","coated-pipe-red-press"
"覆塑管红色(A-UV）","coated-pipe-red-a-uv"
"覆塑管红色(A-VU)","coated-pipe-red-a-vu"
"覆塑管红色(A-VU）","coated-pipe-red-a-vu"
"覆塑管蓝色(环压)","coated-pipe-blue-press"
"覆塑管蓝色(环压）","coated-pipe-blue-press"
"覆塑管蓝色（环压）","coated-pipe-blue-press"
"覆塑管银色","coated-pipe-silver"
"外螺纹覆塑管白色","male-thread-coated-pipe-white"
"内外螺纹覆塑管白色","male-female-thread-coated-pipe-white"
"覆塑管白色","coated-pipe-white"
"双层覆塑防腐保温管银色","double-layer-coated-anti-corrosion-insulated-pipe-silver"
"不锈钢聚氨酯保温管灰色","stainless-pu-insulated-pipe-gray"
"管桥","pipe-bridge"
"直管法兰接头","straight-pipe-flange-connector"
"直管凸面法兰接头(PN16)","straight-pipe-raised-face-flange-connector-pn16"
"直管凸面法兰接头","straight-pipe-raised-face-flange-connector"
"双卡等径接头","double-press-equal-connector"
"双卡异径接头","double-press-reducing-connector"
"双卡外螺纹转换接头","double-press-male-thread-adapter-connector"
"双卡内螺纹转换接头","double-press-female-thread-adapter-connector"
"双卡螺母移动转换接头","double-press-nut-movable-adapter-connector"
"双卡法兰转换接头","double-press-flange-adapter-connector"
"双卡凸面法兰转换接头(PN16)","double-press-raised-face-flange-adapter-connector-pn16"
"双卡凸面法兰转换接头(碟阀专用)(PN16)","double-press-raised-face-flange-adapter-connector-butterfly-valve-pn16"
"双卡A型45°弯头","double-press-type-a-45-elbow"
"双卡异径45°弯头","double-press-reducing-45-elbow"
"双卡A型45°弯头(短)","double-press-type-a-45-elbow-short"
"双卡A型90°弯头","double-press-type-a-90-elbow"
"双卡异径90°弯头","double-press-reducing-90-elbow"
"双卡外螺纹90°转换弯头","double-press-male-thread-90-adapter-elbow"
"双卡内螺纹90°转换弯头","double-press-female-thread-90-adapter-elbow"
"双卡螺母移动90°转换弯头","double-press-nut-movable-90-adapter-elbow"
"双卡B型45°弯头","double-press-type-b-45-elbow"
"双卡B型90°弯头","double-press-type-b-90-elbow"
"双卡等径三通","double-press-equal-tee"
"双卡异径三通","double-press-reducing-tee"
"双卡外螺纹三通","double-press-male-thread-tee"
"双卡内螺纹三通","double-press-female-thread-tee"
"双卡等径四通","double-press-equal-cross"
"双卡异径四通","double-press-reducing-cross"
"双卡管帽","double-press-cap"
"双卡管桥","double-press-pipe-bridge"
"双卡可调对接","double-press-adjustable-coupling"
"双卡外螺纹90°转换弯头(短型)","double-press-male-thread-90-adapter-elbow-short"
"双卡内螺纹90°转换弯头(短型)","double-press-female-thread-90-adapter-elbow-short"
"单卡等径接头","single-press-equal-connector"
"单卡异径接头","single-press-reducing-connector"
"单卡外螺纹转换接头","single-press-male-thread-adapter-connector"
"单卡内螺纹转换接头","single-press-female-thread-adapter-connector"
"单卡螺母移动转换接头","single-press-nut-movable-adapter-connector"
"单卡法兰转换接头","single-press-flange-adapter-connector"
"单卡凸面法兰转换接头(PN16)","single-press-raised-face-flange-adapter-connector-pn16"
"单卡凸面法兰转换接头（PN25）","single-press-raised-face-flange-adapter-connector-pn25"
"单卡A型45°弯头","single-press-type-a-45-elbow"
"单卡异径45°弯头","single-press-reducing-45-elbow"
"单卡A型90°弯头","single-press-type-a-90-elbow"
"单卡异径90°弯头","single-press-reducing-90-elbow"
"单卡A型90°弯头（M)（1.35D)","single-press-type-a-90-elbow-m-135d"
"单卡外螺纹90°转换弯头","single-press-male-thread-90-adapter-elbow"
"单卡内螺纹90°转换弯头","single-press-female-thread-90-adapter-elbow"
"单卡螺母移动90°转换弯头","single-press-nut-movable-90-adapter-elbow"
"单卡B型45°弯头","single-press-type-b-45-elbow"
"单卡B型90°弯头","single-press-type-b-90-elbow"
"单卡等径三通","single-press-equal-tee"
"单卡异径三通","single-press-reducing-tee"
"单卡外螺纹三通","single-press-male-thread-tee"
"单卡内螺纹三通","single-press-female-thread-tee"
"单卡等径四通","single-press-equal-cross"
"单卡异径四通","single-press-reducing-cross"
"单卡管帽","single-press-cap"
"单卡可调对接","single-press-adjustable-coupling"
"单卡内螺纹90°转换弯头(短型)","single-press-female-thread-90-adapter-elbow-short"
"单卡内螺纹90°转换弯头(短型M)","single-press-female-thread-90-adapter-elbow-short-m"
"对焊异径接头","butt-weld-reducing-connector"
"对焊偏心异径接头","butt-weld-eccentric-reducing-connector"
"对焊外螺纹接头","butt-weld-male-thread-connector"
"对焊外螺纹转换接头","butt-weld-male-thread-adapter-connector"
"对焊内螺纹接头","butt-weld-female-thread-connector"
"对焊内螺纹转换接头","butt-weld-female-thread-adapter-connector"
"对焊螺母纹移动接头","butt-weld-nut-thread-movable-connector"
"对焊双卡异径接头","butt-weld-double-press-reducing-connector"
"对焊单卡异径接头","butt-weld-single-press-reducing-connector"
"对焊插焊异径接头","butt-weld-socket-weld-reducing-connector"
"对焊插焊异径对接","butt-weld-socket-weld-reducing-coupling"
"对焊A型45°弯头","butt-weld-type-a-45-elbow"
"对焊A型45°弯头（自制）","butt-weld-type-a-45-elbow-custom"
"对焊A型90°弯头","butt-weld-type-a-90-elbow"
"对焊A型90°弯头（自制）","butt-weld-type-a-90-elbow-custom"
"对焊异径90°弯头","butt-weld-reducing-90-elbow"
"对焊内螺纹90°弯头","butt-weld-female-thread-90-elbow"
"对焊插焊异径90°弯头","butt-weld-socket-weld-reducing-90-elbow"
"对焊等径三通","butt-weld-equal-tee"
"对焊异径三通","butt-weld-reducing-tee"
"对焊外螺纹三通","butt-weld-male-thread-tee"
"对焊内螺纹三通","butt-weld-female-thread-tee"
"对焊法兰三通","butt-weld-flange-tee"
"对焊双卡异径三通","butt-weld-double-press-reducing-tee"
"对焊单卡异径三通","butt-weld-single-press-reducing-tee"
"对焊插焊异径三通","butt-weld-socket-weld-reducing-tee"
"对焊等径四通","butt-weld-equal-cross"
"对焊异径四通","butt-weld-reducing-cross"
"对焊法兰四通","butt-weld-flange-cross"
"对焊插焊异径四通","butt-weld-socket-weld-reducing-cross"
"对焊管帽","butt-weld-cap"
"插焊等径接头","socket-weld-equal-connector"
"插焊异径接头","socket-weld-reducing-connector"
"插焊外螺纹转换接头（M)","socket-weld-male-thread-adapter-connector-m"
"插焊外螺纹转换接头","socket-weld-male-thread-adapter-connector"
"插焊内螺纹转换接头","socket-weld-female-thread-adapter-connector"
"插焊法兰转换接头","socket-weld-flange-adapter-connector"
"插焊双卡等径接头","socket-weld-double-press-equal-connector"
"插焊双卡异径接头","socket-weld-double-press-reducing-connector"
"插焊单卡异径接头","socket-weld-single-press-reducing-connector"
"插焊A型45°弯头","socket-weld-type-a-45-elbow"
"插焊A型90°弯头","socket-weld-type-a-90-elbow"
"插焊异径90°弯头","socket-weld-reducing-90-elbow"
"插焊外螺纹90°转换弯头","socket-weld-male-thread-90-adapter-elbow"
"插焊内螺纹90°转换弯头","socket-weld-female-thread-90-adapter-elbow"
"插焊双卡异径90°弯头","socket-weld-double-press-reducing-90-elbow"
"插焊等径三通","socket-weld-equal-tee"
"插焊异径三通","socket-weld-reducing-tee"
"插焊外螺纹三通","socket-weld-male-thread-tee"
"插焊内螺纹三通","socket-weld-female-thread-tee"
"插焊内螺纹三通（M）","socket-weld-female-thread-tee-m"
"插焊双卡异径三通","socket-weld-double-press-reducing-tee"
"插焊单卡异径三通","socket-weld-single-press-reducing-tee"
"插焊等径四通","socket-weld-equal-cross"
"插焊异径四通","socket-weld-reducing-cross"
"插焊双卡异径四通","socket-weld-double-press-reducing-cross"
"插焊管帽","socket-weld-cap"
"沟槽异径接头","grooved-reducing-connector"
"沟槽外螺纹转换接头","grooved-male-thread-adapter-connector"
"沟槽内螺纹转换接头","grooved-female-thread-adapter-connector"
"沟槽法兰转换接头","grooved-flange-adapter-connector"
"沟槽法兰转换接头(8孔)","grooved-flange-adapter-connector-8-hole"
"沟槽双卡异径接头","grooved-double-press-reducing-connector"
"沟槽双卡等径接头","grooved-double-press-equal-connector"
"沟槽单卡异径接头","grooved-single-press-reducing-connector"
"沟槽对焊异径对接","grooved-butt-weld-reducing-coupling"
"沟槽插焊异径接头","grooved-socket-weld-reducing-connector"
"沟槽插焊异径对接","grooved-socket-weld-reducing-coupling"
"沟槽凸面法兰转换接头(PN16)","grooved-raised-face-flange-adapter-connector-pn16"
"沟槽A型45°弯头","grooved-type-a-45-elbow"
"沟槽A型45°弯头(自制短型)","grooved-type-a-45-elbow-custom-short"
"沟槽A型90°弯头","grooved-type-a-90-elbow"
"沟槽A型90°弯头(自制短型)","grooved-type-a-90-elbow-custom-short"
"沟槽异径90°弯头","grooved-reducing-90-elbow"
"沟槽双卡异径90°弯头","grooved-double-press-reducing-90-elbow"
"沟槽等径三通","grooved-equal-tee"
"沟槽异径三通","grooved-reducing-tee"
"沟槽外螺纹三通","grooved-male-thread-tee"
"沟槽外螺纹三通（M)","grooved-male-thread-tee-m"
"沟槽内螺纹三通","grooved-female-thread-tee"
"沟槽双卡异径三通","grooved-double-press-reducing-tee"
"沟槽双卡等径三通","grooved-double-press-equal-tee"
"沟槽单卡异径三通","grooved-single-press-reducing-tee"
"沟槽对焊等径三通","grooved-butt-weld-equal-tee"
"沟槽异径四通","grooved-reducing-cross"
"沟槽等径四通","grooved-equal-cross"
"沟槽双卡异径四通","grooved-double-press-reducing-cross"
"沟槽单卡异径四通","grooved-single-press-reducing-cross"
"沟槽管帽","grooved-cap"
"双卡内螺纹90°转换弯头(挂墙)","double-press-female-thread-90-adapter-elbow-wall-mounted"
"单卡内螺纹90°转换弯头(挂墙)","single-press-female-thread-90-adapter-elbow-wall-mounted"
"沟槽卡箍","grooved-clamp"
"凸面板式平焊法兰(PN16)","raised-face-plate-slip-on-flange-pn16"
"对焊异径偏心对接","butt-weld-reducing-eccentric-coupling"
"对焊异径对接","butt-weld-reducing-coupling"
"对焊环压异径接头","butt-weld-press-reducing-connector"
"对焊环压异径三通","butt-weld-press-reducing-tee"
"插焊等径对接","socket-weld-equal-coupling"
"插焊异径对接","socket-weld-reducing-coupling"
"插焊双卡异径对接","socket-weld-double-press-reducing-coupling"
"插焊外螺纹接头","socket-weld-male-thread-connector"
"插焊内螺纹接头","socket-weld-female-thread-connector"
"插焊凸面法兰接头","socket-weld-raised-face-flange-connector"
"插焊凸面法兰接头(PN16)","socket-weld-raised-face-flange-connector-pn16"
"插焊外螺纹90°弯头","socket-weld-male-thread-90-elbow"
"插焊B型90°弯头","socket-weld-type-b-90-elbow"
"沟槽环压异径接头","grooved-press-reducing-connector"
"沟槽环压异径三通","grooved-press-reducing-tee"
"环压等径接头","press-equal-connector"
"环压异径接头","press-reducing-connector"
"环压外螺纹转换接头","press-male-thread-adapter-connector"
"环压内螺纹转换接头","press-female-thread-adapter-connector"
"环压螺母移动转换接头","press-nut-movable-adapter-connector"
"环压凸面法兰转换接头(PN16)","press-raised-face-flange-adapter-connector-pn16"
"环压A型45°弯头","press-type-a-45-elbow"
"环压A型90°弯头","press-type-a-90-elbow"
"环压异径90°弯头","press-reducing-90-elbow"
"环压外螺纹90°转换弯头","press-male-thread-90-adapter-elbow"
"环压内螺纹90°转换弯头","press-female-thread-90-adapter-elbow"
"环压B型45°弯头","press-type-b-45-elbow"
"环压B型90°弯头","press-type-b-90-elbow"
"环压等径三通","press-equal-tee"
"环压异径三通","press-reducing-tee"
"环压中大三通","press-large-center-tee"
"环压外螺纹三通","press-male-thread-tee"
"环压内螺纹三通","press-female-thread-tee"
"环压等径四通","press-equal-cross"
"环压异径四通","press-reducing-cross"
"环压管帽","press-cap"
"环压可调对接","press-adjustable-coupling"
"环压内螺纹90°弯头(短型)","press-female-thread-90-elbow-short"
"双卡等径对接","double-press-equal-coupling"
"双卡异径对接","double-press-reducing-coupling"
"单卡双承弯头","single-press-double-socket-elbow"
